Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Bebecê,Caramelo,Dafiti,Sandália Bebecê Lisa Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 79,99","R$ 85,10",1x,Sandália Bebecê Lisa Caramelo,sandalia bebece lisa caramelo,sandalia bebece lisa caramelo
Santa Lolla,Bordô,Dafiti,Sandália Feminina Santa Lolla Tiras Esfe...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 169,90","R$ 124,99","R$ 132,97",2x,Sandália Feminina Santa Lolla Tiras Esfe...,sandalia feminina santa lolla tiras esfe,sandalia feminina santa lolla tiras esfe
Bebecê,Nude,Dafiti,Scarpin Médio Bebecê Slingback Nude,"Calçados,Calçados Femininos,Scarpin","R$ 119,99",,"R$ 119,99",2x,Scarpin Médio Bebecê Slingback Nude,scarpin medio bebece slingback nude,scarpin medio bebece slingback nude
Vizzano,Branco,Dafiti,Sandália Vizzano Salto Grosso Branca,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x,Sandália Vizzano Salto Grosso Branca,sandalia vizzano salto grosso branca,sandalia vizzano salto grosso branca
Bebecê,Nude,Dafiti,Sapatilha Feminina Bebecê Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 74,99","R$ 79,78",1x,Sapatilha Feminina Bebecê Bico Fino Nude,sapatilha feminina bebece bico fino nude,sapatilha feminina bebece bico fino nude
Jorge Bischoff,Nude,Dafiti,Scarpin Jorge Bischoff de Couro Recorte Nude,"Calçados,Calçados Femininos,Scarpin","R$ 549,00","R$ 259,99","R$ 276,59",4x,Scarpin Jorge Bischoff de Couro Recorte Nude,scarpin jorge bischoff de couro recorte nude,scarpin jorge bischoff couro recorte nude
Santa Lolla,Preto,Dafiti,Scarpin Santa Lolla Verniz Preto,"Calçados,Calçados Femininos,Scarpin","R$ 209,99",,"R$ 209,99",3x,Scarpin Santa Lolla Verniz Preto,scarpin santa lolla verniz preto,scarpin santa lolla verniz preto
Bebecê,Branco,Dafiti,Sandália Bebecê Bloco Branca,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 89,99","R$ 95,73",1x,Sandália Bebecê Bloco Branca,sandalia bebece bloco branca,sandalia bebece bloco branca
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Médio Bico...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Bebecê Salto Médio Bico...,scarpin feminino bebece salto medio bico,scarpin feminino bebece salto medio bico
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Bloco Caramelo,"Calçados,Calçados Femininos,Sandálias","R$ 139,99","R$ 104,99","R$ 111,69",1x,Sandália Feminina Vizzano Salto Bloco Caramelo,sandalia feminina vizzano salto bloco caramelo,sandalia feminina vizzano salto bloco caramelo
Puma,Rosa,Dafiti,Tênis Puma Palermo Rosa,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 549,99","R$ 339,99","R$ 361,69",6x,Tênis Puma Palermo Rosa,tenis puma palermo rosa,tenis puma palermo rosa
Bebecê,Marrom,Dafiti,Bota Feminina Bebecê Cano Alto Marrom,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 299,99","R$ 219,99","R$ 234,03",3x,Bota Feminina Bebecê Cano Alto Marrom,bota feminina bebece cano alto marrom,bota feminina bebece cano alto marrom
Moleca,Caramelo,Dafiti,Rasteira Papete Moleca Tachas Caramelo,"Calçados,Calçados Femininos,Papete","R$ 139,90","R$ 89,99","R$ 95,73",1x,Rasteira Papete Moleca Tachas Caramelo,rasteira papete moleca tachas caramelo,rasteira papete moleca tachas caramelo
Bebecê,Preto,Dafiti,Sapatilha Feminina Bebecê Bico Fino Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 79,99","R$ 85,10",1x,Sapatilha Feminina Bebecê Bico Fino Preta,sapatilha feminina bebece bico fino preta,sapatilha feminina bebece bico fino preta
Jorge Bischoff,Dourado,Dafiti,Sapatilha Feminina Jorge Bischoff Metali...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 449,00","R$ 169,99","R$ 180,84",3x,Sapatilha Feminina Jorge Bischoff Metali...,sapatilha feminina jorge bischoff metali,sapatilha feminina jorge bischoff metali
Vizzano,Marrom,Dafiti,Scarpin Feminino Vizzano Salto Bloco Bic...,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 109,99","R$ 117,01",1x,Scarpin Feminino Vizzano Salto Bloco Bic...,scarpin feminino vizzano salto bloco bic,scarpin feminino vizzano salto bloco bic
New Balance,Branco,Dafiti,Tênis Unissex New Balance 740 Branco,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 749,99","R$ 704,98","R$ 749,98",10x,Tênis Unissex New Balance 740 Branco,tenis unissex new balance 740 branco,tenis unissex new balance 740 branco
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Médi...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 199,90","R$ 139,99","R$ 148,93",2x,Sandália Feminina Santa Lolla Salto Médi...,sandalia feminina santa lolla salto medi,sandalia feminina santa lolla salto medi
Comfortflex,Preto,Dafiti,Bota Feminina Comfortflex Cano Baixo Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 209,99","R$ 189,99","R$ 202,12",3x,Bota Feminina Comfortflex Cano Baixo Preta,bota feminina comfortflex cano baixo preta,bota feminina comfortflex cano baixo preta
VIA UNO,Off-white,Dafiti,Sapatilha Feminina VIA UNO Detalhe Fivel...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 109,99",,"R$ 109,99",1x,Sapatilha Feminina VIA UNO Detalhe Fivel...,sapatilha feminina via uno detalhe fivel,sapatilha feminina via uno detalhe fivel
Jorge Bischoff,Azul,Dafiti,Scarpin Jorge Bischoff Aplicação Azul,"Calçados,Calçados Femininos,Scarpin","R$ 589,00","R$ 299,99","R$ 319,14",5x,Scarpin Jorge Bischoff Aplicação Azul,scarpin jorge bischoff aplicacao azul,scarpin jorge bischoff aplicacao azul
VIA UNO,Dourado,Dafiti,Sapatilha Via Uno Metalizada Dourada,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 69,99","R$ 74,46",1x,Sapatilha Via Uno Metalizada Dourada,sapatilha via uno metalizada dourada,sapatilha via uno metalizada dourada
Santa Lolla,Preto,Dafiti,Bota Santa Lolla Cano Baixo Recortes Preta,"Calçados,Calçados Femininos,Bota Cano Curto","R$ 299,90","R$ 229,99","R$ 244,67",4x,Bota Santa Lolla Cano Baixo Recortes Preta,bota santa lolla cano baixo recortes preta,bota santa lolla cano baixo recortes preta
Santa Lolla,Bege,Dafiti,Scarpin Santa Lolla Liso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 229,90","R$ 174,99","R$ 186,16",3x,Scarpin Santa Lolla Liso Bege,scarpin santa lolla liso bege,scarpin santa lolla liso bege
adidas Originals,Preto,Dafiti,Tênis Unissex adidas Originals Samba Lt Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual,Calçados Masculinos,Tênis,Tênis Casual","R$ 799,99","R$ 479,99","R$ 510,63",8x,Tênis Unissex adidas Originals Samba Lt Preto,tenis unissex adidas originals samba lt preto,tenis unissex adidas originals samba lt preto
Santa Lolla,Vinho,Dafiti,Sandália Feminina Santa Lolla Salto Alto...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 189,90","R$ 149,99","R$ 159,56",2x,Sandália Feminina Santa Lolla Salto Alto...,sandalia feminina santa lolla salto alto,sandalia feminina santa lolla salto alto
Modare,Preto,Dafiti,Sandália Modare Recorte Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 104,99","R$ 111,69",1x,Sandália Modare Recorte Preta,sandalia modare recorte preta,sandalia modare recorte preta
VIA UNO,Off-white,Dafiti,Sapatilha Via Uno Matelassê Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 84,99","R$ 90,41",1x,Sapatilha Via Uno Matelassê Off-White,sapatilha via uno matelasse off white,sapatilha via uno matelasse off white
Bebecê,Preto,Dafiti,Sapatilha Feminina Becece Ponta Fina Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x,Sapatilha Feminina Becece Ponta Fina Preta,sapatilha feminina becece ponta fina preta,sapatilha feminina becece ponta fina preta
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Maxi Fivela Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 139,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina Vizzano Maxi Fivela Preta,sandalia feminina vizzano maxi fivela preta,sandalia feminina vizzano maxi fivela preta
Santa Lolla,Off-white,Dafiti,Sandália Santa Lolla Tiras Off-White,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 294,99","R$ 189,99","R$ 202,12",3x,Sandália Santa Lolla Tiras Off-White,sandalia santa lolla tiras off white,sandalia santa lolla tiras off white
Vizzano,Verde,Dafiti,Rasteira Feminina Vizzano Aberta Verde,"Calçados,Calçados Femininos,Rasteirinhas","R$ 79,90","R$ 54,99","R$ 58,50",1x,Rasteira Feminina Vizzano Aberta Verde,rasteira feminina vizzano aberta verde,rasteira feminina vizzano aberta verde
Jorge Bischoff,Preto,Dafiti,Bota Jorge Bischoff Cano Baixo de Couro ...,"Calçados,Calçados Femininos,Bota Cano Curto","R$ 699,00","R$ 369,99","R$ 393,61",6x,Bota Jorge Bischoff Cano Baixo de Couro ...,bota jorge bischoff cano baixo de couro,bota jorge bischoff cano baixo couro
Santa Lolla,Bordô,Dafiti,Scarpin Santa Lolla Salto Slingback Verniz Bordô,"Calçados,Calçados Femininos,Scarpin","R$ 209,99","R$ 159,99","R$ 170,20",2x,Scarpin Santa Lolla Salto Slingback Verniz Bordô,scarpin santa lolla salto slingback verniz bordo,scarpin santa lolla salto slingback verniz bordo
Arezzo,Dourado,Dafiti,Rasteira Feminina Arezzo Tiras Finas Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 149,90","R$ 109,99","R$ 117,01",1x,Rasteira Feminina Arezzo Tiras Finas Dourada,rasteira feminina arezzo tiras finas dourada,rasteira feminina arezzo tiras finas dourada
Bebecê,Preto,Dafiti,Sandália Feminina Bebecê Salto Bloco Bic...,"Calçados,Calçados Femininos,Sandálias","R$ 109,99","R$ 64,99","R$ 69,14",1x,Sandália Feminina Bebecê Salto Bloco Bic...,sandalia feminina bebece salto bloco bic,sandalia feminina bebece salto bloco bic
Beira Rio,Bege,Dafiti,Rasteira Feminina Beira Rio Tiras Cruzadas Bege,"Calçados,Calçados Femininos,Rasteirinhas","R$ 49,99","R$ 34,99","R$ 37,22",1x,Rasteira Feminina Beira Rio Tiras Cruzadas Bege,rasteira feminina beira rio tiras cruzadas bege,rasteira feminina beira rio tiras cruzadas bege
VIA UNO,Marrom,Dafiti,Scarpin Feminino Via Uno Salto Grosso Bi...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 59,99","R$ 63,82",1x,Scarpin Feminino Via Uno Salto Grosso Bi...,scarpin feminino via uno salto grosso bi,scarpin feminino via uno salto grosso bi
Dakota,Preto,Dafiti,Bota Dakota Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 329,99","R$ 159,99","R$ 170,20",2x,Bota Dakota Cano Curto Preta,bota dakota cano curto preta,bota dakota cano curto preta
Usaflex,Preto,Dafiti,Sandália Feminina Usaflex Anabela Baixa Preta,"Calçados,Calçados Femininos,Sandálias","R$ 189,99","R$ 99,99","R$ 106,37",1x,Sandália Feminina Usaflex Anabela Baixa Preta,sandalia feminina usaflex anabela baixa preta,sandalia feminina usaflex anabela baixa preta
Bottero,Nude,Dafiti,Sapatilha Feminina Bottero Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 199,99","R$ 139,99","R$ 148,93",2x,Sapatilha Feminina Bottero Bico Fino Nude,sapatilha feminina bottero bico fino nude,sapatilha feminina bottero bico fino nude
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Animal Print Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina Vizzano Animal Print Preta,sandalia feminina vizzano animal print preta,sandalia feminina vizzano animal print preta
Vizzano,Caramelo,Dafiti,Mocassim Vizzano Clássico Caramelo,"Calçados,Calçados Femininos,Mocassim","R$ 129,90","R$ 74,99","R$ 79,78",1x,Mocassim Vizzano Clássico Caramelo,mocassim vizzano classico caramelo,mocassim vizzano classico caramelo
Santa Lolla,Branco,Dafiti,Tênis Slip On Flatform Santa Lolla Liso Branco,"Calçados,Calçados Femininos,Tênis,Slip On","R$ 159,99","R$ 119,99","R$ 127,65",2x,Tênis Slip On Flatform Santa Lolla Liso Branco,tenis slip on flatform santa lolla liso branco,tenis slip on flatform santa lolla liso branco
Vizzano,Preto,Dafiti,Tamanco Vizzano Liso Preto,"Calçados,Calçados Femininos,Tamanco","R$ 94,99","R$ 79,99","R$ 85,10",1x,Tamanco Vizzano Liso Preto,tamanco vizzano liso preto,tamanco vizzano liso preto
VIA UNO,Preto,Dafiti,Bota Via Uno Cano Baixo Aplicação Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,99","R$ 174,99","R$ 186,16",3x,Bota Via Uno Cano Baixo Aplicação Preta,bota via uno cano baixo aplicacao preta,bota via uno cano baixo aplicacao preta
Ramarim,Verde,Dafiti,Tênis Ramarim Recortes Verde,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 299,90","R$ 199,99","R$ 212,76",3x,Tênis Ramarim Recortes Verde,tenis ramarim recortes verde,tenis ramarim recortes verde
Beira Rio,Preto,Dafiti,Bota Beira Rio Cano Baixo Preto,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,99","R$ 169,99","R$ 180,84",3x,Bota Beira Rio Cano Baixo Preto,bota beira rio cano baixo preto,bota beira rio cano baixo preto
Vizzano,Marrom,Dafiti,Tênis Vizzano Recorte Lateral Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 89,99","R$ 95,73",1x,Tênis Vizzano Recorte Lateral Marrom,tenis vizzano recorte lateral marrom,tenis vizzano recorte lateral marrom
Bebecê,Branco,Dafiti,Sapato Feminino Bebecê Salto Bloco Tiras Branco,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",,"R$ 129,99",2x,Sapato Feminino Bebecê Salto Bloco Tiras Branco,sapato feminino bebece salto bloco tiras branco,sapato feminino bebece salto bloco tiras branco
VIA UNO,Marrom,Dafiti,Sandália Feminina VIA UNO Salto Baixo Marrom,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 94,99","R$ 101,05",1x,Sandália Feminina VIA UNO Salto Baixo Marrom,sandalia feminina via uno salto baixo marrom,sandalia feminina via uno salto baixo marrom
Vizzano,Marrom,Dafiti,Tênis Feminino Vizzano Slip On Marrom,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 109,99","R$ 117,01",1x,Tênis Feminino Vizzano Slip On Marrom,tenis feminino vizzano slip on marrom,tenis feminino vizzano slip on marrom
VIA UNO,Marrom,Dafiti,Sandália Via Uno Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 109,99","R$ 69,99","R$ 74,46",1x,Sandália Via Uno Marrom,sandalia via uno marrom,sandalia via uno marrom
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Médio Bl...,"Calçados,Calçados Femininos,Sandálias","R$ 139,90","R$ 104,99","R$ 111,69",1x,Sandália Feminina Vizzano Salto Médio Bl...,sandalia feminina vizzano salto medio bl,sandalia feminina vizzano salto medio bl
Santa Lolla,Rosa,Dafiti,Rasteira Feminina Santa Lolla Tiras Entr...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Santa Lolla Tiras Entr...,rasteira feminina santa lolla tiras entr,rasteira feminina santa lolla tiras entr
Fila,Bege,Dafiti,Tênis Feminino Fila Racer Speedzone Manu...,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 699,99","R$ 657,98","R$ 699,98",10x,Tênis Feminino Fila Racer Speedzone Manu...,tenis feminino fila racer speedzone manu,tenis feminino fila racer speedzone manu
Santa Lolla,Vinho,Dafiti,Sandália Feminina Santa Lolla Salto Médio Vinho,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 219,90","R$ 149,99","R$ 159,56",2x,Sandália Feminina Santa Lolla Salto Médio Vinho,sandalia feminina santa lolla salto medio vinho,sandalia feminina santa lolla salto medio vinho
Santa Lolla,Prata,Dafiti,Sandália Santa Lolla Metalizada Prata,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 189,90","R$ 169,99","R$ 180,84",3x,Sandália Santa Lolla Metalizada Prata,sandalia santa lolla metalizada prata,sandalia santa lolla metalizada prata
Dakota,Off-white,Dafiti,Scarpin Feminino Dakota Vazado Slingback Off-white,"Calçados,Calçados Femininos,Scarpin","R$ 219,99","R$ 129,99","R$ 138,29",2x,Scarpin Feminino Dakota Vazado Slingback Off-white,scarpin feminino dakota vazado slingback off white,scarpin feminino dakota vazado slingback off white
Modare,Nude,Dafiti,Sandália Modare Salto grosso Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x,Sandália Modare Salto grosso Nude,sandalia modare salto grosso nude,sandalia modare salto grosso nude
Bebecê,Caramelo,Dafiti,Mocassim Feminino Bebecê Croco Caramelo,"Calçados,Calçados Femininos,Mocassim","R$ 79,99","R$ 54,99","R$ 58,50",1x,Mocassim Feminino Bebecê Croco Caramelo,mocassim feminino bebece croco caramelo,mocassim feminino bebece croco caramelo
Santa Lolla,Off-white,Dafiti,Rasteira Feminina Santa Lolla Tiras Off-White,"Calçados,Calçados Femininos,Rasteirinhas","R$ 189,90","R$ 129,99","R$ 138,29",2x,Rasteira Feminina Santa Lolla Tiras Off-White,rasteira feminina santa lolla tiras off white,rasteira feminina santa lolla tiras off white
Jorge Bischoff,Off-white,Dafiti,Scarpin Jorge Bischoff de Couro Aplicaçã...,"Calçados,Calçados Femininos,Scarpin","R$ 589,00","R$ 299,99","R$ 319,14",5x,Scarpin Jorge Bischoff de Couro Aplicaçã...,scarpin jorge bischoff de couro aplicaca,scarpin jorge bischoff couro aplicaca
Modare,Preto,Dafiti,Sapatilha Modare Ponta Verniz Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 109,99","R$ 89,99","R$ 95,73",1x,Sapatilha Modare Ponta Verniz Preta,sapatilha modare ponta verniz preta,sapatilha modare ponta verniz preta
Vizzano,Preto,Dafiti,Bota Feminina Vizzano Salto Alto Cano Curto Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 219,90","R$ 169,99","R$ 180,84",3x,Bota Feminina Vizzano Salto Alto Cano Curto Preta,bota feminina vizzano salto alto cano curto preta,bota feminina vizzano salto alto cano curto preta
Vizzano,Prata,Dafiti,Sandália Feminina Vizzano Salto Bloco Prata,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 99,99","R$ 106,37",1x,Sandália Feminina Vizzano Salto Bloco Prata,sandalia feminina vizzano salto bloco prata,sandalia feminina vizzano salto bloco prata
Kolosh,Off-white,Dafiti,Tênis Kolosh Recorte Matelassê Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 149,99","R$ 159,56",2x,Tênis Kolosh Recorte Matelassê Off-White,tenis kolosh recorte matelasse off white,tenis kolosh recorte matelasse off white
Modare,Marrom,Dafiti,Rasteira Feminina Modare Fechada Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 129,90","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Modare Fechada Marrom,rasteira feminina modare fechada marrom,rasteira feminina modare fechada marrom
Bebecê,Marrom,Dafiti,Scarpin Feminino Bebecê Tira em T Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 89,99","R$ 95,73",1x,Scarpin Feminino Bebecê Tira em T Marrom,scarpin feminino bebece tira em t marrom,scarpin feminino bebece tira t marrom
Jorge Bischoff,Preto,Dafiti,Bota Bottero Cano Baixo Texturizada Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 649,00","R$ 339,99","R$ 361,69",6x,Bota Bottero Cano Baixo Texturizada Preta,bota bottero cano baixo texturizada preta,bota bottero cano baixo texturizada preta
Via Marte,Preto,Dafiti,Tênis Via Marte Nobuck Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 199,99","R$ 139,99","R$ 148,93",2x,Tênis Via Marte Nobuck Preto,tenis via marte nobuck preto,tenis via marte nobuck preto
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Médio Preta,"Calçados,Calçados Femininos,Sandálias","R$ 229,90","R$ 169,99","R$ 180,84",3x,Sandália Feminina Santa Lolla Salto Médio Preta,sandalia feminina santa lolla salto medio preta,sandalia feminina santa lolla salto medio preta
Bebecê,Marrom,Dafiti,Bota Feminina Bebecê Cano Baixo Salto Qu...,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 229,99","R$ 159,99","R$ 170,20",2x,Bota Feminina Bebecê Cano Baixo Salto Qu...,bota feminina bebece cano baixo salto qu,bota feminina bebece cano baixo salto qu
Beira Rio,Marrom,Dafiti,Sandália Beira Rio Aplicação Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,90","R$ 104,99","R$ 111,69",1x,Sandália Beira Rio Aplicação Marrom,sandalia beira rio aplicacao marrom,sandalia beira rio aplicacao marrom
